Investigation.Type,Country,Aircraft.Category,Make,Model,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Event.Year
Accident,United States,Airplane,BEECH,A23-24,Reciprocating,Personal,0.0,0.0,0.0,4.0,1982
Accident,United States,Airplane,PIPER,PA-31-350,Reciprocating,Unknown,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,T210N,Reciprocating,Personal,3.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,172,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,140,Reciprocating,Unknown,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,SWEARINGEN,SA 226-TC,Turbo Prop,Unknown,0.0,1.0,2.0,12.0,1982
Accident,United States,Airplane,BEECH,C-45H,Reciprocating,Unknown,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,DE HAVILLAND,DHC-2-MK3,Turbo Prop,Unknown,0.0,0.0,0.0,4.0,1982
Accident,United States,Airplane,CESSNA,150M,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,150M,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,BEDE AIRCRAFT,BD-5B,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,182P,Reciprocating,Unknown,0.0,0.0,1.0,0.0,1982
Accident,United States,Airplane,CONVAIR,440,Reciprocating,Unknown,0.0,0.0,2.0,1.0,1982
Accident,United States,Airplane,PIPER,PA-31,Reciprocating,Unknown,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-31T,Turbo Prop,Personal,0.0,0.0,3.0,0.0,1982
Accident,United States,Airplane,BEECH,F50,Reciprocating,Unknown,2.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,150,Reciprocating,Instructional,0.0,0.0,1.0,1.0,1982
Accident,United States,Airplane,CESSNA,180E,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,170B,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,BEECH,C23,Reciprocating,Business,0.0,2.0,2.0,0.0,1982
Accident,United States,Airplane,CESSNA,172M,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-28-180,Reciprocating,Personal,3.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,180K,Reciprocating,Business,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,210L,Reciprocating,Personal,4.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,MOONEY,M20F,Reciprocating,Business,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,BEECH,G35,Reciprocating,Personal,2.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,177B,Reciprocating,Business,1.0,2.0,0.0,0.0,1982
Accident,United States,Airplane,GRUMMAN,AA5A,Reciprocating,Personal,3.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,SWEARINGEN,SA226-T(B),Turbo Prop,Executive/corporate,3.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,AEROSTAR 601P,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,182P,Reciprocating,Aerial Observation,0.0,0.0,1.0,1.0,1982
Accident,United States,Airplane,CESSNA,177RG,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,BEACHNER,QUICK SILVER,Reciprocating,Personal,0.0,0.0,1.0,0.0,1982
Accident,United States,Airplane,CESSNA,182E,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,150H,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,340A,Reciprocating,Business,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,PIPER,PA-38-112,Reciprocating,Instructional,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CANADAIR,CL-44D4,Turbo Prop,Unknown,0.0,0.0,0.0,6.0,1982
Accident,United States,Airplane,PIPER,PA-32,Reciprocating,Unknown,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,BEECH,58,Reciprocating,Personal,2.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,182N,Reciprocating,Personal,3.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-23-250,Reciprocating,Business,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,210,Reciprocating,Personal,1.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,P210N,Reciprocating,Personal,4.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,402A,Reciprocating,Unknown,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,DOUGLAS,DC-3,Reciprocating,Unknown,0.0,0.0,2.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-23-250,Reciprocating,Executive/corporate,0.0,1.0,2.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-28-235,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,GRUMMAN,AA-1,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-32,Reciprocating,Personal,0.0,1.0,3.0,0.0,1982
Accident,United States,Airplane,CESSNA,207,Reciprocating,Unknown,0.0,0.0,1.0,0.0,1982
Accident,United States,Airplane,MOONEY,M-20,Reciprocating,Personal,0.0,0.0,0.0,4.0,1982
Accident,United States,Airplane,AIR TRACTOR,301,Reciprocating,Unknown,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,SONS MUSTANG,II,Reciprocating,Unknown,2.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,172M,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,172,Reciprocating,Personal,1.0,1.0,0.0,0.0,1982
Accident,United States,Airplane,MOONEY,M20C,Reciprocating,Personal,2.0,0.0,4.0,0.0,1982
Accident,United States,Airplane,GRUMMAN,G-164A,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,MCDONNELL DOUGLAS,DC-10-30,Turbo Fan,Unknown,2.0,4.0,24.0,182.0,1982
Accident,United States,Airplane,BEECH,A23A,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-32-300,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,150M,Reciprocating,Personal,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,PIPER,PA-34-200T,Reciprocating,Personal,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,PIPER,PA-28-235,Reciprocating,Personal,2.0,0.0,4.0,0.0,1982
Accident,United States,Airplane,CESSNA,150H,Reciprocating,Personal,0.0,1.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-38-112,Reciprocating,Unknown,0.0,0.0,1.0,1.0,1982
Accident,United States,Airplane,ROBERTSON,C-402B,Reciprocating,Personal,7.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,172,Reciprocating,Personal,0.0,0.0,2.0,0.0,1982
Accident,United States,Airplane,CESSNA,172,Reciprocating,Personal,0.0,0.0,0.0,4.0,1982
Accident,United States,Airplane,CESSNA,172RG,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,177,Reciprocating,Business,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,182M,Reciprocating,Personal,2.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,152II,Reciprocating,Instructional,0.0,0.0,1.0,0.0,1982
Accident,United States,Airplane,CESSNA,A188B,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-28-140,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,172N,Reciprocating,Instructional,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,BELLANCA,7GCBC,Reciprocating,Business,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,172N,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,AERONCA,7BCM,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,PIPER,PA-38-112,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,PIPER,28-151,Reciprocating,Unknown,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,340A,Reciprocating,Instructional,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,172H,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,MOONEY,M20C,Reciprocating,Business,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,A185F,Reciprocating,Business,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,PIPER,PA-32-260,Reciprocating,Business,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,172N,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,150,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,172,Reciprocating,Unknown,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,MOONEY,M20J,Reciprocating,Personal,0.0,0.0,0.0,4.0,1982
Accident,United States,Airplane,CESSNA,TR182,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,AERONCA,7AC,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,177B,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,172,Reciprocating,Personal,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,CESSNA,140,Reciprocating,Instructional,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,172,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,182L,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,172N,Reciprocating,Personal,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,CESSNA,172P,Reciprocating,Unknown,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,PIPER,PA-22,Reciprocating,Personal,0.0,0.0,1.0,1.0,1982
Accident,United States,Airplane,CESSNA,150L,Reciprocating,Instructional,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,BEECH,36,Reciprocating,Business,0.0,1.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Personal,0.0,0.0,1.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-28-161,Reciprocating,Instructional,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,180K,Reciprocating,Personal,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,PIPER,PA-22,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,BEECH,99,Turbo Prop,Unknown,0.0,5.0,2.0,0.0,1982
Accident,United States,Airplane,CESSNA,172,Reciprocating,Unknown,0.0,1.0,1.0,0.0,1982
Accident,United States,Airplane,CESSNA,182,Reciprocating,Personal,2.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,BELLANCA,7ECA,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,TR182,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,P206,Reciprocating,Personal,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,GRUMMAN,1159,Turbo Jet,Executive/corporate,0.0,0.0,0.0,4.0,1982
Accident,United States,Airplane,PIPER,PA-32,Reciprocating,Unknown,0.0,1.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-23-250,Reciprocating,Unknown,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,150G,Reciprocating,Personal,2.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,U206G,Reciprocating,Business,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,T210N,Reciprocating,Business,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,SMITH MINIPLANE,BK-1,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,MOONEY,M20J,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,MITSUBISHI,MU2B-40,Turbo Prop,Business,0.0,0.0,6.0,0.0,1982
Accident,United States,Airplane,MCDONNELL-DOUGLAS,DC-10-10,Turbo Fan,Unknown,0.0,1.0,0.0,154.0,1982
Accident,United States,Airplane,CESSNA,150J,Reciprocating,Instructional,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,TAYLORCRAFT,F19,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,TED SMITH,AEROSTAR 600,Reciprocating,Unknown,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,BELLANCA,7KCAB,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,PIPER,PA-28,Reciprocating,Personal,2.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-32R-300,Reciprocating,Unknown,4.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-28-140,Reciprocating,Instructional,0.0,1.0,1.0,0.0,1982
Accident,United States,Airplane,CESSNA,T210L,Reciprocating,Personal,0.0,1.0,0.0,0.0,1982
Accident,United States,Airplane,BOEING,A75N1,Reciprocating,Aerial Application,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,PIPER,PA-31,Reciprocating,Unknown,0.0,2.0,0.0,0.0,1982
Accident,United States,Airplane,BELLANCA,7KCAB,Reciprocating,Personal,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,TAYLORCRAFT,BC12-D,Reciprocating,Personal,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,PIPER,PA-28-140,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,180,Reciprocating,Personal,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,PIPER,PA-28-181,Reciprocating,Personal,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,ERCOUPE,415-C,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,182H,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,150,Reciprocating,Instructional,0.0,0.0,2.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-24-180,Reciprocating,Personal,8.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,182B,Reciprocating,Personal,8.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-28-140,Reciprocating,Personal,0.0,4.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,P210N,Reciprocating,Unknown,4.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,ROCKWELL COMDR,112TCA,Reciprocating,Personal,0.0,1.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-28-180,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,BELLANCA,7KCAB,Reciprocating,Personal,0.6555292000654344,0.297708358955438,0.2540927280811674,2.0,1982
Accident,United States,Airplane,CESSNA,172N,Reciprocating,Personal,0.0,0.0,0.0,5.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,PIPER,PA-38,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,177RG,Reciprocating,Business,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,172,Reciprocating,Personal,0.0,0.0,0.0,4.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,172,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,172N,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,C-172,Reciprocating,Personal,0.0,0.0,1.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-18A-150,Reciprocating,Business,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,PIPER,PA-28R-201,Reciprocating,Personal,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,PIPER,PA-28-161,Reciprocating,Instructional,0.0,0.0,1.0,0.0,1982
Accident,United States,Airplane,CESSNA,182P,Reciprocating,Personal,0.0,0.0,1.0,0.0,1982
Accident,United States,Airplane,CESSNA,140,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,BEECH,C-23,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,PIPER,PA-38-112,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,BEECH,V35A,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,310R,Reciprocating,Business,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,172,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,402B,Reciprocating,Business,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,185,Reciprocating,Unknown,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,310,Reciprocating,Personal,0.0,2.0,0.0,0.0,1982
Accident,United States,Airplane,BEECH,95-C55,Reciprocating,Business,2.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,172K,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,421B,Reciprocating,Business,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,401,Reciprocating,Business,0.0,0.0,0.0,5.0,1982
Accident,United States,Airplane,CESSNA,421,Reciprocating,Unknown,2.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,GRUMMAN,G-164B,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,PIPER,PA-60-602P,Reciprocating,Personal,1.0,0.297708358955438,0.2540927280811674,6.36714451472845,1982
Accident,United States,Airplane,PIPER,PA-24-250,Reciprocating,Personal,0.0,4.0,0.0,0.0,1982
Accident,United States,Airplane,HOWARD AIRCRAFT CORP.,500,Reciprocating,Personal,0.0,0.0,0.0,4.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,1.0,0.0,1982
Accident,United States,Airplane,CESSNA,172K,Reciprocating,Personal,4.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-34,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,ROCKWELL,112A,Reciprocating,Personal,2.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,BEECH,J35,Reciprocating,Personal,4.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,150,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
